,id,dt,i,c,m,p,t
101,EPS,2024-06-14T17:06:29+02:00,R1.80,1.80,,,clickacompany
102,EQU,2024-06-14T17:00:16+02:00,R12.85,12.70,0.15,1.18%,clickacompany
103,EUZ,2024-06-14T17:02:58+02:00,R0.29,0.35,-0.06,-17.14%,clickacompany
104,EXP,2024-06-14T17:06:29+02:00,R11.50,11.50,,,clickacompany
105,EXX,2024-06-14T17:00:28+02:00,R171.00,170.50,0.50,0.29%,clickacompany
106,FTA,2024-06-14T16:44:36+02:00,R15.40,15.20,0.20,1.32%,clickacompany
107,FTB,2024-06-14T17:00:41+02:00,R3.95,3.90,0.05,1.28%,clickacompany
108,FBR,2024-06-14T17:00:02+02:00,R49.90,49.51,0.39,0.79%,clickacompany
109,FFB,2024-06-14T16:49:48+02:00,R15.90,15.79,0.11,0.70%,clickacompany
110,FGL,2024-06-14T17:00:48+02:00,R0.60,0.57,0.03,5.26%,clickacompany
111,FTH,2024-06-14T13:25:36+02:00,R6.40,6.25,0.15,2.40%,clickacompany
112,FSR,2024-06-14T17:05:58+02:00,R70.51,68.55,1.96,2.86%,clickacompany
113,GML,2024-06-14T15:02:34+02:00,R2.80,2.80,,,clickacompany
114,GFI,2024-06-14T17:03:42+02:00,R244.97,258.57,-13.60,-5.26%,clickacompany
115,GLN,2024-06-14T17:00:37+02:00,R105.73,107.28,-1.55,-1.44%,clickacompany
116,GND,2024-06-14T17:00:18+02:00,R13.53,13.35,0.18,1.35%,clickacompany
117,GNDP,2024-06-14T16:36:15+02:00,R86.50,86.24,0.26,0.30%,clickacompany
118,GPL,2024-06-14T12:15:27+02:00,R3.55,3.55,,,clickacompany
119,GSH,2024-06-14T16:40:15+02:00,R241.01,251.95,-10.94,-4.34%,clickacompany
120,GRT,2024-06-14T16:49:48+02:00,R11.70,11.33,0.37,3.27%,clickacompany
121,GTC,2024-06-14T17:06:29+02:00,R40.00,40.00,,,clickacompany
122,HAR,2024-06-14T17:00:04+02:00,R156.57,156.20,0.37,0.24%,clickacompany
123,HCI,2024-06-14T17:00:21+02:00,R165.00,158.79,6.21,3.91%,clickacompany
124,HDC,2024-06-14T16:49:55+02:00,R169.00,168.10,0.90,0.54%,clickacompany
125,HET,2024-06-14T14:15:26+02:00,R15.00,14.00,1.00,7.14%,clickacompany
126,HIL,2024-06-14T17:06:29+02:00,R25.00,25.00,,,clickacompany
127,HLM,2024-06-14T13:27:27+02:00,R3.76,3.55,0.21,5.92%,clickacompany
128,HMN,2024-06-14T17:00:31+02:00,R6.52,6.68,-0.16,-2.40%,clickacompany
129,HUG,2024-06-14T17:06:29+02:00,R2.24,2.24,,,clickacompany
130,HYP,2024-06-14T17:05:05+02:00,R29.16,28.41,0.75,2.64%,clickacompany
131,IBX,2024-06-14T17:06:29+02:00,R97.30,97.30,,,clickacompany
132,IMP,2024-06-14T17:02:53+02:00,R84.10,86.26,-2.16,-2.50%,clickacompany
133,INL,2024-06-14T17:00:39+02:00,R130.04,128.12,1.92,1.50%,clickacompany
134,INP,2024-06-14T17:03:32+02:00,R129.96,127.74,2.22,1.74%,clickacompany
135,INPP,2024-06-14T17:06:29+02:00,R122.00,122.00,,,clickacompany
136,INPPR,2024-06-14T10:41:48+02:00,R86.00,83.70,2.30,2.75%,clickacompany
