,0,1,2
254,SASFIN,Investment Banking and Brokerage Services,SASFIN SFN Sasfin Holdings Ltd. Sasfin-Holdings-Ltd.
255,SHBCAP,Real Estate Investment Trusts,SHBCAP SHC Shaftesbury Capital plc Shaftesbury-Capital-plc
256,SEAHARVST,Food Producers,SEAHARVST SHG Sea Harvest Group Ltd. Sea-Harvest-Group-Ltd.
257,SHOPRIT,"Personal Care, Drug and Grocery Stores",SHOPRIT SHP Shoprite Holdings Ltd. Shoprite-Holdings-Ltd.
258,SIBANYE-S,Precious Metals and Mining,SIBANYE-S SSW Sibanye Stillwater Ltd. Sibanye-Stillwater-Ltd.
259,SANLAM,Life Insurance,SANLAM SLM Sanlam Ltd. Sanlam-Ltd.
260,SANTAM,Non-life Insurance,SANTAM SNT Santam Ltd. Santam-Ltd.
261,SANTOVA,Industrial Transportation,SANTOVA SNV Santova Ltd. Santova-Ltd.
262,S.OCEAN,Electronic and Electrical Equipment,S.OCEAN SOH South Ocean Holdings Ltd. South-Ocean-Holdings-Ltd.
263,BEE-SASOL,Chemicals,BEE-SASOL SOLBE1 Sasol Ltd. Sasol-Ltd.
264,SASOL,Chemicals,SASOL SOL Sasol Ltd. Sasol-Ltd.
265,SOUTH PD,Precious Metals and Mining,SOUTH PD SDL Southern Palladium Ltd. Southern-Palladium-Ltd.
266,SSU,Travel and Leisure,SSU SSU Southern Sun Ltd. Southern-Sun-Ltd.
267,SUPRGRP,Industrial Transportation,SUPRGRP SPG Super Group Ltd. Super-Group-Ltd.
268,SPAR,"Personal Care, Drug and Grocery Stores",SPAR SPP The SPAR Group Ltd. The-SPAR-Group-Ltd.
269,SIRIUS,Real Estate Investment Trusts,SIRIUS SRE Sirius Real Estate Ltd. Sirius-Real-Estate-Ltd.
270,STEFSTOCK,Construction and Materials,STEFSTOCK SSK Stefanutti Stocks Holdings Ltd. Stefanutti-Stocks-Holdings-Ltd.
271,STOR-AGE,Real Estate Investment Trusts,STOR-AGE SSS Stor-Age Property REIT Ltd. Stor-Age-Property-REIT-Ltd.
272,STADIO,Consumer Services,STADIO SDO Stadio Holdings Ltd. Stadio-Holdings-Ltd.
273,SUNINT,Travel and Leisure,SUNINT SUI Sun International Ltd. Sun-International-Ltd.
274,SPURCORP,Travel and Leisure,SPURCORP SUR Spur Corporation Ltd. Spur-Corporation-Ltd.
275,SYGNIA,Investment Banking and Brokerage Services,SYGNIA SYG Sygnia Ltd. Sygnia-Ltd.
276,TIGBRANDS,Food Producers,TIGBRANDS TBS Tiger Brands Ltd. Tiger-Brands-Ltd.
277,TRANSCAP,Finance and Credit Services,TRANSCAP TCP Transaction Capital Ltd. Transaction-Capital-Ltd.
278,TEX,Real Estate Investment Trusts,TEX TEX Texton Property Fund Ltd. Texton-Property-Fund-Ltd.
279,TFG PREF,Preference Shares,TFG PREF TFGP The Foschini Group Ltd. The-Foschini-Group-Ltd.
280,TFG,Retailers,TFG TFG The Foschini Group Ltd. The-Foschini-Group-Ltd.
281,THARISA,Industrial Metals and Mining,THARISA THA Tharisa plc Tharisa-plc
282,THUNGELA,"Oil, Gas and Coal",THUNGELA TGA Thungela Resources Ltd. Thungela-Resources-Ltd.
283,TELKOM,Telecommunications Service Providers,TELKOM TKG Telkom SA SOC Ltd. Telkom-SA-SOC-Ltd.
284,TELEMASTR,Telecommunications Service Providers,TELEMASTR TLM TeleMasters Holdings Ltd. TeleMasters-Holdings-Ltd.
285,TREMATON,Closed End Investments,TREMATON TMT Trematon Capital Investments Ltd. Trematon-Capital-Investments-Ltd.
286,TONGAAT,Food Producers,TONGAAT TON Tongaat Hulett Ltd. Tongaat-Hulett-Ltd.
287,TRNPACO,General Industrials,TRNPACO TPC Transpaco Ltd. Transpaco-Ltd.
288,TRENCOR,Industrial Transportation,TRENCOR TRE Trencor Ltd. Trencor-Ltd.
289,TRELLIDOR,Construction and Materials,TRELLIDOR TRL Trellidor Holdings Ltd. Trellidor-Holdings-Ltd.
290,TRUWTHS,Retailers,TRUWTHS TRU Truworths International Ltd. Truworths-International-Ltd.
291,TSOGO SUN,Travel and Leisure,TSOGO SUN TSG Tsogo Sun Ltd. Tsogo-Sun-Ltd.
292,TRUSTCO,Investment Banking and Brokerage Services,TRUSTCO TTO Trustco Group Holdings Ltd. Trustco-Group-Holdings-Ltd.
293,UPARTNERS,Investment Banking and Brokerage Services,UPARTNERS UPL Universal Partners Ltd. Universal-Partners-Ltd.
294,VISUAL,Real Estate Investment and Services,VISUAL VIS Visual International Holdings Ltd. Visual-International-Holdings-Ltd.
295,VUKILE,Real Estate Investment Trusts,VUKILE VKE Vukile Property Fund Ltd. Vukile-Property-Fund-Ltd.
296,VODACOM,Telecommunications Service Providers,VODACOM VOD Vodacom Group Ltd. Vodacom-Group-Ltd.
297,VUNANI,Investment Banking and Brokerage Services,VUNANI VUN Vunani Ltd. Vunani-Ltd.
298,WBHO,Construction and Materials,WBHO WBO Wilson Bayly Holmes - Ovcon Ltd. Wilson-Bayly-Holmes---Ovcon-Ltd.
299,WEBUYCARS,Retailers,WEBUYCARS WBC We Buy Cars Holdings Ltd. We-Buy-Cars-Holdings-Ltd.
300,WESIZWE,Precious Metals and Mining,WESIZWE WEZ Wesizwe Platinum Ltd. Wesizwe-Platinum-Ltd.
301,WOOLIES,Retailers,WOOLIES WHL Woolworths Holdings Ltd. Woolworths-Holdings-Ltd.
302,WORKFORCE,Industrial Support Services,WORKFORCE WKF Workforce Holdings Ltd. Workforce-Holdings-Ltd.
303,YORK,Industrial Materials,YORK YRK York Timber Holdings Ltd. York-Timber-Holdings-Ltd.
304,YEBOYETHU,Open End and Miscellaneous Investment Vehicles,YEBOYETHU YYLBEE YeboYethu Ltd. YeboYethu-Ltd.
305,ZEDA,Consumer Services,ZEDA ZZD Zeda Ltd. Zeda-Ltd.
306,ZEDER,Investment Banking and Brokerage Services,ZEDER ZED Zeder Investments Ltd. Zeder-Investments-Ltd.
