,0,1,2
76,CORONAT,Investment Banking and Brokerage Services,CORONAT CML Coronation Fund Managers Ltd. Coronation-Fund-Managers-Ltd.
77,CHROMETCO,Industrial Metals and Mining,CHROMETCO CMO Chrometco Ltd. Chrometco-Ltd.
78,CONDUIT,Non-life Insurance,CONDUIT CND Conduit Capital Ltd. Conduit-Capital-Ltd.
79,CURRO,Consumer Services,CURRO COH Curro Holdings Ltd. Curro-Holdings-Ltd.
80,COLLINS,Real Estate Investment Trusts,COLLINS CPP Collins Property Group Ltd. Collins-Property-Group-Ltd.
81,COPPER360,Industrial Metals and Mining,COPPER360 CPR Copper 360 Ltd. Copper-360-Ltd.
82,CAPITEC,Banks,CAPITEC CPI Capitec Bank Holdings Ltd. Capitec-Bank-Holdings-Ltd.
83,CAPITEC-P,Preference Shares,CAPITEC-P CPIP Capitec Bank Holdings Ltd. Capitec-Bank-Holdings-Ltd.
84,CAPREG,Real Estate Investment Trusts,CAPREG CRP Capital & Regional plc Capital-&-Regional-plc
85,CASHBIL,Retailers,CASHBIL CSB Cashbuild Ltd. Cashbuild-Ltd.
86,DIS-CHEM,"Personal Care, Drug and Grocery Stores",DIS-CHEM DCP Dis-Chem Pharmacies Ltd. Dis-Chem-Pharmacies-Ltd.
87,DKR,Real Estate Investment Trusts,DKR DKR Deutsche Konsum REIT-AG Deutsche-Konsum-REIT-AG
88,DIPULA B,Real Estate Investment Trusts,DIPULA B DIB Dipula Income Fund Ltd. Dipula-Income-Fund-Ltd.
89,DELPROP,Real Estate Investment Trusts,DELPROP DLT Delta Property Fund Ltd. Delta-Property-Fund-Ltd.
90,DENEB,Investment Banking and Brokerage Services,DENEB DNB Deneb Investments Ltd. Deneb-Investments-Ltd.
91,DRAGLOBAL,Construction and Materials,DRAGLOBAL DRA DRA Global Ltd. DRA-Global-Ltd.
92,DRDGOLD,Precious Metals and Mining,DRDGOLD DRD DRDGOLD Ltd. DRDGOLD-Ltd.
93,DSY B PREF,Preference Shares,DSY B PREF DSBP Discovery Ltd. Discovery-Ltd.
94,DISCOVERY,Life Insurance,DISCOVERY DSY Discovery Ltd. Discovery-Ltd.
95,DATATEC,Software and Computer Services,DATATEC DTC Datatec Ltd. Datatec-Ltd.
96,EFORA,"Oil, Gas and Coal",EFORA EEL Efora Energy Ltd. Efora-Energy-Ltd.
97,ELLIES,Electronic and Electrical Equipment,ELLIES ELI Ellies Holdings Ltd. Ellies-Holdings-Ltd.
98,E MEDIA,Media,E MEDIA EMH eMedia Holdings Ltd. eMedia-Holdings-Ltd.
99,EMIRA,Real Estate Investment Trusts,EMIRA EMI Emira Property Fund Ltd. Emira-Property-Fund-Ltd.
100,E MEDIA-N,Media,E MEDIA-N EMN eMedia Holdings Ltd. eMedia-Holdings-Ltd.
101,ENXGROUP,General Industrials,ENXGROUP ENX enX Group Ltd. enX-Group-Ltd.
102,EOH,Software and Computer Services,EOH EOH EOH Holdings Ltd. EOH-Holdings-Ltd.
103,ETHOSCAP,Closed End Investments,ETHOSCAP EPE EPE Capital Partners Ltd. EPE-Capital-Partners-Ltd.
104,EASTPLATS,Precious Metals and Mining,EASTPLATS EPS Eastern Platinum Ltd. Eastern-Platinum-Ltd.
105,EQUITES,Real Estate Investment Trusts,EQUITES EQU Equites Property Fund Ltd. Equites-Property-Fund-Ltd.
106,EUROMET,Industrial Metals and Mining,EUROMET EUZ Europa Metals Ltd. Europa-Metals-Ltd.
107,EXEMPLAR,Real Estate Investment Trusts,EXEMPLAR EXP Exemplar REITail Ltd. Exemplar-REITail-Ltd.
108,EXXARO,"Oil, Gas and Coal",EXXARO EXX Exxaro Resources Ltd. Exxaro-Resources-Ltd.
109,FTAPROPA,Real Estate Investment Trusts,FTAPROPA FTA Fairvest Ltd. Fairvest-Ltd.
110,FTBPROPB,Real Estate Investment Trusts,FTBPROPB FTB Fairvest Ltd. Fairvest-Ltd.
111,FAMBRANDS,Travel and Leisure,FAMBRANDS FBR Famous Brands Ltd. Famous-Brands-Ltd.
112,FORTRESSB,Real Estate Investment and Services,FORTRESSB FFB Fortress Real Estate Investments Ltd. Fortress-Real-Estate-Investments-Ltd.
113,FINBOND,Banks,FINBOND FGL Finbond Group Ltd. Finbond-Group-Ltd.
114,FRONTIERT,Travel and Leisure,FRONTIERT FTH Frontier Transport Holdings Ltd. Frontier-Transport-Holdings-Ltd.
115,FIRSTRAND,Banks,FIRSTRAND FSR FirstRand Ltd. FirstRand-Ltd.
116,GEMFIELDS,Precious Metals and Mining,GEMFIELDS GML Gemfields Group Ltd. Gemfields-Group-Ltd.
117,GFIELDS,Precious Metals and Mining,GFIELDS GFI Gold Fields Ltd. Gold-Fields-Ltd.
118,GLENCORE,Industrial Metals and Mining,GLENCORE GLN Glencore plc Glencore-plc
119,GRINDROD,Industrial Transportation,GRINDROD GND Grindrod Ltd. Grindrod-Ltd.
120,GRINDROD PREF,Preference Shares,GRINDROD PREF GNDP Grindrod Ltd. Grindrod-Ltd.
121,GRANPRADE,Travel and Leisure,GRANPRADE GPL Grand Parade Investments Ltd. Grand-Parade-Investments-Ltd.
122,GRINSHIP,Industrial Transportation,GRINSHIP GSH Grindrod Shipping Holdings Ltd. Grindrod-Shipping-Holdings-Ltd.
123,GROWPNT,Real Estate Investment Trusts,GROWPNT GRT Growthpoint Properties Ltd. Growthpoint-Properties-Ltd.
124,GTCSA,Real Estate Investment and Services,GTCSA GTC Globe Trade Centre SA Globe-Trade-Centre-SA
125,HARMONY,Precious Metals and Mining,HARMONY HAR Harmony Gold Mining Company Ltd. Harmony-Gold-Mining-Company-Ltd.
126,HCI,Investment Banking and Brokerage Services,HCI HCI Hosken Consolidated Investments Ltd. Hosken-Consolidated-Investments-Ltd.
127,HUDACO,Industrial Support Services,HUDACO HDC Hudaco Industries Ltd. Hudaco-Industries-Ltd.
128,HERIOT,Real Estate Investment Trusts,HERIOT HET Heriot REIT Ltd. Heriot-REIT-Ltd.
129,HOMCHOICE,Retailers,HOMCHOICE HIL Homechoice International plc Homechoice-International-plc
130,HULAMIN,Industrial Metals and Mining,HULAMIN HLM Hulamin Ltd. Hulamin-Ltd.
131,HAMMERSON,Real Estate Investment Trusts,HAMMERSON HMN Hammerson plc Hammerson-plc
132,HUGE,Telecommunications Service Providers,HUGE HUG Huge Group Ltd. Huge-Group-Ltd.
133,HYPROP,Real Estate Investment Trusts,HYPROP HYP Hyprop Investments Ltd. Hyprop-Investments-Ltd.
134,IBEX,Preference Shares,IBEX IBX IBEX Investment Holdings Ltd. IBEX-Investment-Holdings-Ltd.
135,IMPLATS,Precious Metals and Mining,IMPLATS IMP Impala Platinum Holdings Ltd. Impala-Platinum-Holdings-Ltd.
136,INVLTD,Banks,INVLTD INL Investec Ltd. Investec-Ltd.
137,INVPLC,Banks,INVPLC INP Investec plc Investec-plc
138,INVPREF,Preference Shares,INVPREF INPP Investec plc Investec-plc
139,INVPREFR,Preference Shares,INVPREFR INPPR Investec plc Investec-plc
